StudentID,Title,FirstName,LastName,BirthDate,CurrentSchool,Email,CurriculumID
69000001,Mr.,Arthit,Chaisri,2008-05-20,Suankularb,arthit.chaisri@mail.com,12345678
69000002,Ms.,Natnicha,Sriwilai,2008-02-22,Kasetsart Laboratory,natnicha.sriwilai@mail.com,12345678
69000003,Mr.,Surasak,Ritthisak,2006-01-17,Satit KMITL,surasak.ritthisak@mail.com,87654321
69000004,Ms.,Pimchanok,Kamsai,2004-09-15,Horwang,pimchanok.kamsai@mail.com,12345678
69000005,Mr.,Anan,Kambang,2004-11-28,Kasetsart Laboratory,anan.kambang@mail.com,12345678
69000006,Ms.,Jiraporn,Intharachai,2006-10-29,Debsirin,jiraporn.intharachai@mail.com,87654321
69000007,Mr.,Somchai,Limpawat,2004-12-23,Saint Joseph,somchai.limpawat@mail.com,12345678
69000008,Ms.,Ploypailin,Songkran,2004-04-20,Bangkok Christian,ploypailin.songkran@mail.com,12345678
69000009,Mr.,Nattapong,Kittisak,2006-02-19,Bangkok Christian,nattapong.kittisak@mail.com,87654321
69000010,Ms.,Waraporn,Siriphan,2005-01-23,Mater Dei,waraporn.siriphan@mail.com,12345678
69000011,Mr.,Prachya,Sangkaew,2006-02-10,Kasetsart Laboratory,prachya.sangkaew@mail.com,12345678
69000012,Ms.,Sunee,Panyawong,2007-07-05,Horwang,sunee.panyawong@mail.com,87654321
69000013,Mr.,Korn,Saelee,2003-01-24,Suankularb,korn.saelee@mail.com,12345678
69000014,Ms.,Sunee,Kittisak,2004-02-21,Saint Joseph,sunee.kittisak@mail.com,12345678
69000015,Mr.,Santi,Saengchan,2008-07-05,Assumption,santi.saengchan@mail.com,87654321
69000016,Ms.,Tipaporn,Pradit,2004-12-09,Debsirin,tipaporn.pradit@mail.com,12345678
69000017,Mr.,Wirot,Siriphan,2008-03-28,Kasetsart Laboratory,wirot.siriphan@mail.com,12345678
69000018,Ms.,Patcharee,Wattanapong,2006-07-14,Debsirin,patcharee.wattanapong@mail.com,87654321
69000019,Mr.,Phurit,Intharachai,2008-06-15,Satit KMITL,phurit.intharachai@mail.com,12345678
69000020,Ms.,Natnicha,Thongdee,2005-07-25,Debsirin,natnicha.thongdee@mail.com,12345678
